"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","ModeWithoutHardLink","VersionInfo","BaseName","Target","LinkType","Length","DirectoryName","Directory","IsReadOnly","FullName","Extension","Name","Exists","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","LinkTarget","Attributes"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem\2010AdoptedScienceStandards.pdf","Microsoft.PowerShell.Core\FileSystem::C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem","2010AdoptedScienceStandards.pdf","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem\2010AdoptedScienceStandards.pdf
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","2010AdoptedScienceStandards",,,"528847","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem","False","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem\2010AdoptedScienceStandards.pdf",".pdf","2010AdoptedScienceStandards.pdf","True","5/6/2022 6:59:59 PM","5/6/2022 10:59:59 PM","5/6/2022 7:03:27 PM","5/6/2022 11:03:27 PM","5/6/2022 6:58:19 PM","5/6/2022 10:58:19 PM",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem\3yr-Project-Financial-Report-Template.xlsx","Microsoft.PowerShell.Core\FileSystem::C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem","3yr-Project-Financial-Report-Template.xlsx","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem\3yr-Project-Financial-Report-Template.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","3yr-Project-Financial-Report-Template",,,"145129","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem","False","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem\3yr-Project-Financial-Report-Template.xlsx",".xlsx","3yr-Project-Financial-Report-Template.xlsx","True","5/6/2022 6:59:59 PM","5/6/2022 10:59:59 PM","5/6/2022 7:03:27 PM","5/6/2022 11:03:27 PM","5/6/2022 6:58:18 PM","5/6/2022 10:58:18 PM",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem\82808-Annual Report Financial Overview Template and Graphs.xlsx","Microsoft.PowerShell.Core\FileSystem::C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem","82808-Annual Report Financial Overview Template and Graphs.xlsx","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem\82808-Annual Report Financial Overview Template and Graphs.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","82808-Annual Report Financial Overview Template and Graphs",,,"3079772","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem","False","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem\82808-Annual Report Financial Overview Template and Graphs.xlsx",".xlsx","82808-Annual Report Financial Overview Template and Graphs.xlsx","True","5/6/2022 6:59:59 PM","5/6/2022 10:59:59 PM","5/6/2022 7:03:27 PM","5/6/2022 11:03:27 PM","5/6/2022 6:58:18 PM","5/6/2022 10:58:18 PM",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem\APA-Citation-Work-Cited1.docx","Microsoft.PowerShell.Core\FileSystem::C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem","APA-Citation-Work-Cited1.docx","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem\APA-Citation-Work-Cited1.docx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","APA-Citation-Work-Cited1",,,"49920","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem","False","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem\APA-Citation-Work-Cited1.docx",".docx","APA-Citation-Work-Cited1.docx","True","5/6/2022 6:59:59 PM","5/6/2022 10:59:59 PM","5/6/2022 7:03:27 PM","5/6/2022 11:03:27 PM","5/6/2022 6:58:19 PM","5/6/2022 10:58:19 PM",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem\cle-other-science.pdf","Microsoft.PowerShell.Core\FileSystem::C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem","cle-other-science.pdf","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem\cle-other-science.pdf
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","cle-other-science",,,"491735","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem","False","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem\cle-other-science.pdf",".pdf","cle-other-science.pdf","True","5/6/2022 6:59:59 PM","5/6/2022 10:59:59 PM","5/6/2022 7:03:27 PM","5/6/2022 11:03:27 PM","5/6/2022 6:58:19 PM","5/6/2022 10:58:19 PM",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem\Commercial_audit_checklist_tool.xlsx","Microsoft.PowerShell.Core\FileSystem::C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem","Commercial_audit_checklist_tool.xlsx","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem\Commercial_audit_checklist_tool.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","Commercial_audit_checklist_tool",,,"221129","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem","False","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem\Commercial_audit_checklist_tool.xlsx",".xlsx","Commercial_audit_checklist_tool.xlsx","True","5/6/2022 6:59:59 PM","5/6/2022 10:59:59 PM","5/6/2022 7:03:27 PM","5/6/2022 11:03:27 PM","5/6/2022 6:58:17 PM","5/6/2022 10:58:17 PM",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem\DoD_Master_Office_2010_Settings_v1.0.xlsx","Microsoft.PowerShell.Core\FileSystem::C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem","DoD_Master_Office_2010_Settings_v1.0.xlsx","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem\DoD_Master_Office_2010_Settings_v1.0.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","DoD_Master_Office_2010_Settings_v1.0",,,"319973","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem","False","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem\DoD_Master_Office_2010_Settings_v1.0.xlsx",".xlsx","DoD_Master_Office_2010_Settings_v1.0.xlsx","True","5/6/2022 6:59:59 PM","5/6/2022 10:59:59 PM","5/6/2022 7:03:27 PM","5/6/2022 11:03:27 PM","5/6/2022 6:58:17 PM","5/6/2022 10:58:17 PM",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem\FinancialStatementFY12Q2.xlsx","Microsoft.PowerShell.Core\FileSystem::C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem","FinancialStatementFY12Q2.xlsx","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem\FinancialStatementFY12Q2.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","FinancialStatementFY12Q2",,,"78249","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem","False","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem\FinancialStatementFY12Q2.xlsx",".xlsx","FinancialStatementFY12Q2.xlsx","True","5/6/2022 6:59:59 PM","5/6/2022 10:59:59 PM","5/6/2022 7:03:27 PM","5/6/2022 11:03:27 PM","5/6/2022 6:58:18 PM","5/6/2022 10:58:18 PM",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem\GPAF IMP 067 Annual Financial Report 300414.xlsx","Microsoft.PowerShell.Core\FileSystem::C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem","GPAF IMP 067 Annual Financial Report 300414.xlsx","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem\GPAF IMP 067 Annual Financial Report 300414.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","GPAF IMP 067 Annual Financial Report 300414",,,"184360","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem","False","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem\GPAF IMP 067 Annual Financial Report 300414.xlsx",".xlsx","GPAF IMP 067 Annual Financial Report 300414.xlsx","True","5/6/2022 6:59:59 PM","5/6/2022 10:59:59 PM","5/6/2022 7:03:27 PM","5/6/2022 11:03:27 PM","5/6/2022 6:58:18 PM","5/6/2022 10:58:18 PM",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem\Index_Table_Contents.xlsx","Microsoft.PowerShell.Core\FileSystem::C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem","Index_Table_Contents.xlsx","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem\Index_Table_Contents.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","Index_Table_Contents",,,"60765","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem","False","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem\Index_Table_Contents.xlsx",".xlsx","Index_Table_Contents.xlsx","True","5/6/2022 6:59:59 PM","5/6/2022 10:59:59 PM","5/6/2022 7:03:27 PM","5/6/2022 11:03:27 PM","5/6/2022 6:58:19 PM","5/6/2022 10:58:19 PM",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem\K-12_Science_Performance_Expectations_v5_496901_7.pdf","Microsoft.PowerShell.Core\FileSystem::C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem","K-12_Science_Performance_Expectations_v5_496901_7.pdf","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem\K-12_Science_Performance_Expectations_v5_496901_7.pdf
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","K-12_Science_Performance_Expectations_v5_496901_7",,,"1017137","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem","False","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem\K-12_Science_Performance_Expectations_v5_496901_7.pdf",".pdf","K-12_Science_Performance_Expectations_v5_496901_7.pdf","True","5/6/2022 6:59:59 PM","5/6/2022 10:59:59 PM","5/6/2022 7:03:27 PM","5/6/2022 11:03:27 PM","5/6/2022 6:58:19 PM","5/6/2022 10:58:19 PM",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem\Microsoft Office 2010 Service Pack 1 Changes.xlsx","Microsoft.PowerShell.Core\FileSystem::C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem","Microsoft Office 2010 Service Pack 1 Changes.xlsx","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem\Microsoft Office 2010 Service Pack 1 Changes.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","Microsoft Office 2010 Service Pack 1 Changes",,,"40225","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem","False","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem\Microsoft Office 2010 Service Pack 1 Changes.xlsx",".xlsx","Microsoft Office 2010 Service Pack 1 Changes.xlsx","True","5/6/2022 6:59:59 PM","5/6/2022 10:59:59 PM","5/6/2022 7:03:27 PM","5/6/2022 11:03:27 PM","5/6/2022 6:58:17 PM","5/6/2022 10:58:17 PM",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem\Microsoft-Word-Trifold-Brochure-Template.docx","Microsoft.PowerShell.Core\FileSystem::C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem","Microsoft-Word-Trifold-Brochure-Template.docx","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem\Microsoft-Word-Trifold-Brochure-Template.docx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","Microsoft-Word-Trifold-Brochure-Template",,,"79583","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem","False","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem\Microsoft-Word-Trifold-Brochure-Template.docx",".docx","Microsoft-Word-Trifold-Brochure-Template.docx","True","5/6/2022 6:59:59 PM","5/6/2022 10:59:59 PM","5/6/2022 7:03:27 PM","5/6/2022 11:03:27 PM","5/6/2022 6:58:19 PM","5/6/2022 10:58:19 PM",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem\nssmic15.docx","Microsoft.PowerShell.Core\FileSystem::C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem","nssmic15.docx","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem\nssmic15.docx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","nssmic15",,,"71009","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem","False","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week13\homework\FileSystem\nssmic15.docx",".docx","nssmic15.docx","True","5/6/2022 6:59:59 PM","5/6/2022 10:59:59 PM","5/6/2022 7:03:27 PM","5/6/2022 11:03:27 PM","5/6/2022 6:58:19 PM","5/6/2022 10:58:19 PM",,"Archive"
